"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202202","1호선","서울역","392","4","6620","4825","8866","28412","28159","66221","44847","143948","36975","90388","36605","47115","44042","40269","48776","46426","50921","45629","44634","40987","54675","43943","65602","44024","96340","51696","140060","56466","67133","37120","48520","25182","54544","24839","27772","13433","7907","5067","21","413","0","0","0","0","0","0","20220303"
"202202","1호선","청량리(서울시립대입구)","745","10","7969","3273","10769","15689","26117","11802","34239","25374","22042","21808","20472","26204","26596","31734","29196","31392","31308","35267","33187","37249","36974","34823","41419","30220","37700","29681","32120","35263","17112","23401","13071","14051","10709","16361","4855","10608","1056","4393","29","458","0","0","0","0","0","0","20220303"
"202202","2호선","강변(동서울터미널)","13","0","6166","1451","18564","13126","57550","16400","82162","33984","56828","28084","41948","26884","39500","26505","39897","30066","40911","32600","37585","34323","38404","39565","39095","43726","42738","54867","46629","81625","30702","58990","25119","38981","22171","41718","11562","25933","3182","7593","0","230","0","0","0","0","0","0","20220303"
"202202","2호선","서울대입구(관악구청)","3618","13","20987","1797","31878","9586","91257","19920","137157","50366","90650","49400","52070","41160","47914","38724","52957","43003","56026","49233","50843","49962","52642","53432","58877","67009","63543","88188","70923","138449","41363","110190","40701","65073","46875","77936","26160","57183","5977","20572","0","4224","0","0","0","0","0","0","20220303"
"202202","3호선","경복궁(정부서울청사)","62","0","1736","1366","4185","9443","9474","27352","14516","78926","14264","42158","11771","27047","13590","26682","16798","26949","19750","29745","24056","26513","30162","21682","35685","20845","49688","19974","75678","21311","30637","13009","27937","8217","28998","9120","10525","6566","1490","2073","1","81","0","0","0","0","0","0","20220303"
"202202","4호선","미아(서울사이버대학)","42","6","7903","980","15643","4144","35390","9244","40871","22492","26148","14963","18377","11983","17547","12249","18878","13155","17581","14877","16826","15781","17087","19215","18082","21110","18821","25791","21048","37692","11695","30528","8083","19598","7088","21132","4091","14182","1101","6478","0","0","0","0","0","0","0","0","20220303"
"202202","4호선","서울역","154","5","3073","454","4118","7828","8833","23649","11186","55266","8529","30734","7250","16226","9029","14647","9493","17921","9386","17525","9831","16218","10605","18179","12661","18611","28338","21746","41642","23385","15178","17103","10265","11496","10712","13035","5414","8191","1198","3069","3","561","1","1","0","0","0","0","20220303"
"202202","6호선","봉화산(서울의료원)","21","0","3770","874","10803","1886","35488","4398","29828","10340","14320","5774","10710","4844","9125","5031","9370","6664","9110","7371","8416","7469","7504","8996","7892","10199","9441","14505","8178","24166","3930","22856","3240","13733","2909","12900","1852","10937","493","3840","1","418","0","0","0","0","0","0","20220303"
"202202","6호선","화랑대(서울여대입구)","6","0","4198","794","15872","1919","45859","4277","42738","7929","19849","6101","12737","5477","11507","5687","12666","6699","11698","7467","10187","7388","10115","9371","10521","11107","10535","16526","9105","29186","4908","27131","3239","15357","3221","15049","2005","12032","670","5178","3","385","0","0","0","0","0","0","20220303"
"202202","7호선","공릉(서울과학기술대)","14","0","4674","797","10589","2950","27231","6484","32671","16743","18387","12217","13959","10057","13082","9914","14297","11824","14250","13233","14156","13387","14382","15062","15379","17045","15885","21110","17886","31230","9500","27894","8826","15703","9133","16250","5174","13823","1144","5950","2","394","0","0","0","0","0","0","20220303"
